lat,lon,date,month,cell_id
7.5,102.0,2020-08-17,8,2628
7.25,81.75,2020-08-18,8,2307
24.25,83.0,2020-05-22,5,18632
23.0,50.5,2020-03-05,3,17302
22.25,82.25,2020-01-04,1,16709
16.5,88.5,2020-05-03,5,11214
22.75,79.75,2020-04-25,4,17179
9.0,50.0,2020-03-10,3,3860
27.5,76.25,2020-04-04,4,21725
17.5,101.0,2020-01-10,1,12224
28.25,88.25,2020-08-09,8,22493
8.75,53.0,2020-12-04,12,3632
17.25,102.5,2020-09-09,9,11990
22.25,102.5,2020-06-12,6,16790
17.25,55.0,2020-06-02,6,11800
16.0,93.0,2020-04-22,4,10752
9.0,69.25,2020-02-21,2,3937
14.5,80.5,2020-08-06,8,9262
10.75,71.5,2020-07-25,7,5626
12.5,91.75,2020-01-03,1,7387
22.0,104.75,2020-05-31,5,16559
20.75,92.5,2020-04-11,4,15310
20.0,100.75,2020-03-03,3,14623
14.0,101.75,2020-09-13,9,8867
28.75,50.25,2020-07-10,7,22821
7.0,60.0,2020-08-19,8,1980
13.5,88.25,2020-09-17,9,8333
7.75,80.25,2020-12-24,12,2781
13.25,48.0,2020-10-20,10,7932
29.0,50.5,2020-08-14,8,23062
14.0,76.0,2020-11-16,11,8764
27.5,81.75,2020-06-23,6,21747
17.25,55.0,2020-12-25,12,11800
22.25,55.25,2020-10-04,10,16601
16.25,52.75,2020-08-25,8,10831
11.5,78.75,2020-11-25,11,6375
24.0,45.25,2020-07-07,7,18241
29.0,79.25,2020-09-20,9,23177
11.5,73.5,2020-04-13,4,6354
24.25,72.75,2020-12-17,12,18591
11.5,85.75,2020-08-15,8,6403
22.75,76.25,2020-10-12,10,17165
24.5,88.5,2020-06-17,6,18894
16.0,90.75,2020-11-12,11,10743
23.25,100.0,2020-01-28,1,17740
11.75,92.75,2020-02-11,2,6671
6.75,76.0,2020-07-04,7,1804
7.25,74.5,2020-09-24,9,2278
16.0,59.0,2020-10-22,10,10616
27.5,80.75,2020-06-09,6,21743
8.0,53.25,2020-08-25,8,2913
16.25,100.75,2020-07-20,7,11023
22.5,95.5,2020-12-16,12,17002
10.0,52.0,2020-08-26,8,4828
23.0,92.0,2020-06-01,6,17468
12.5,52.0,2020-12-19,12,7228
25.0,88.25,2020-02-09,2,19373
19.25,50.25,2020-12-25,12,13701
18.5,74.25,2020-02-26,2,13077
9.25,84.25,2020-04-15,4,4237
16.5,88.5,2020-10-26,10,11214
26.25,70.0,2020-09-24,9,20500
5.25,100.25,2020-12-20,12,461
23.75,91.25,2020-09-30,9,18185
17.25,57.25,2020-08-20,8,11809
22.75,85.25,2020-05-06,5,17201
21.5,88.75,2020-01-02,1,16015
15.75,65.0,2020-02-15,2,10400
12.5,89.25,2020-04-18,4,7377
20.5,98.75,2020-01-15,1,15095
8.5,94.0,2020-07-04,7,3556
19.5,90.75,2020-10-10,10,14103
7.25,83.0,2020-12-17,12,2312
21.0,61.0,2020-06-27,6,15424
20.5,92.5,2020-11-15,11,15070
7.0,66.75,2020-12-25,12,2007
23.75,76.75,2020-11-09,11,18127
15.25,63.75,2020-06-18,6,9915
24.5,63.75,2020-04-28,4,18795
6.0,54.25,2020-12-22,12,997
9.25,102.5,2020-03-29,3,4310
17.25,53.75,2020-05-30,5,11795
9.5,50.0,2020-01-28,1,4340
13.0,101.0,2020-10-16,10,7904
21.5,78.25,2020-08-25,8,15973
8.5,71.25,2020-01-31,1,3465
21.75,89.0,2020-03-22,3,16256
7.5,67.75,2020-07-21,7,2491
9.25,52.5,2020-07-16,7,4110
19.5,88.75,2020-10-19,10,14095
24.75,55.5,2020-04-07,4,19002
9.25,78.0,2020-12-03,12,4212
12.25,101.75,2020-06-11,6,7187
28.0,101.0,2020-10-27,10,22304
29.5,66.5,2020-03-28,3,23606
19.5,91.75,2020-01-14,1,14107
16.0,81.75,2020-01-21,1,10707
13.5,73.75,2020-05-16,5,8275
20.25,53.25,2020-12-13,12,14673
19.75,67.5,2020-01-18,1,14250
12.25,84.0,2020-05-14,5,7116
5.5,104.0,2020-02-09,2,716
8.75,45.25,2020-12-06,12,3601
28.75,88.0,2020-09-03,9,22972
15.25,95.75,2020-10-05,10,10043
17.0,102.0,2020-09-17,9,11748
16.5,70.25,2020-08-27,8,11141
24.5,52.0,2020-10-09,10,18748
6.5,61.25,2020-01-03,1,1505
7.0,96.0,2020-11-11,11,2124
11.75,97.5,2020-09-27,9,6690
17.0,83.0,2020-09-26,9,11672
21.75,52.25,2020-05-23,5,16109
17.25,52.25,2020-10-19,10,11789
16.0,73.5,2020-05-19,5,10674
28.25,80.25,2020-01-18,1,22461
9.0,46.75,2020-11-27,11,3847
19.25,86.0,2020-03-26,3,13844
18.5,77.5,2020-02-07,2,13090
16.75,45.5,2020-08-14,8,11282
25.0,50.5,2020-03-26,3,19222
11.5,72.25,2020-11-09,11,6349
28.75,88.25,2020-06-10,6,22973
13.25,94.5,2020-01-02,1,8118
18.5,70.75,2020-12-13,12,13063
18.0,62.5,2020-07-06,7,12550
26.0,103.0,2020-04-05,4,20392
15.75,72.5,2020-09-04,9,10430
12.0,63.75,2020-07-12,7,6795
5.5,71.5,2020-01-11,1,586
14.0,45.5,2020-10-04,10,8642
25.5,63.0,2020-05-26,5,19752
5.0,75.75,2020-09-12,9,123
27.25,100.0,2020-11-22,11,21580
18.5,89.25,2020-08-10,8,13137
8.5,91.75,2020-09-02,9,3547
12.5,77.5,2020-04-02,4,7330
18.75,51.5,2020-03-27,3,13226
12.75,68.25,2020-05-31,5,7533
7.5,104.75,2020-11-07,11,2639
21.5,47.5,2020-07-10,7,15850
21.75,97.75,2020-05-07,5,16291
7.75,86.0,2020-10-11,10,2804
12.0,62.0,2020-11-07,11,6788
11.0,91.5,2020-11-25,11,5946
21.25,95.0,2020-04-19,4,15800
23.25,47.5,2020-09-16,9,17530
23.0,51.25,2020-08-03,8,17305
28.25,84.75,2020-06-12,6,22479
24.0,104.75,2020-05-24,5,18479
13.0,46.25,2020-02-11,2,7685
7.5,84.75,2020-04-10,4,2559
20.25,53.0,2020-07-19,7,14672
27.75,84.0,2020-11-19,11,21996
29.25,82.25,2020-11-12,11,23429
10.75,50.25,2020-03-09,3,5541
10.75,85.75,2020-09-04,9,5683
5.75,98.75,2020-01-31,1,935
8.5,96.75,2020-09-03,9,3567
18.75,46.5,2020-05-04,5,13206
18.5,59.75,2020-06-13,6,13019
14.25,59.25,2020-09-18,9,8937
12.5,72.0,2020-06-04,6,7308
25.5,53.5,2020-10-21,10,19714
16.5,96.25,2020-07-13,7,11245
25.0,91.5,2020-12-30,12,19386
29.0,93.5,2020-08-20,8,23234
12.75,56.75,2020-04-18,4,7487
10.0,45.75,2020-10-09,10,4803
28.75,99.5,2020-05-28,5,23018
20.75,62.25,2020-07-13,7,15189
12.25,84.25,2020-02-19,2,7117
20.5,99.5,2020-02-13,2,15098
17.75,47.0,2020-07-28,7,12248
27.5,45.25,2020-03-09,3,21601
11.25,45.25,2020-12-30,12,6001
29.75,54.25,2020-11-08,11,23797
28.25,48.0,2020-09-12,9,22332
9.5,94.0,2020-09-25,9,4516
9.0,81.25,2020-08-05,8,3985
18.25,103.75,2020-01-23,1,12955
6.0,93.0,2020-05-23,5,1152
12.25,102.75,2020-06-29,6,7191
15.75,59.25,2020-11-30,11,10377
29.0,62.25,2020-03-21,3,23109
29.75,95.75,2020-06-30,6,23963
8.75,59.5,2020-05-05,5,3658
27.25,48.25,2020-02-19,2,21373
7.25,85.0,2020-02-07,2,2320
23.5,93.0,2020-05-13,5,17952
26.0,103.0,2020-01-31,1,20392
27.25,100.5,2020-01-25,1,21582
10.5,52.0,2020-05-08,5,5308
27.25,91.25,2020-03-14,3,21545
7.75,95.75,2020-07-21,7,2843
17.75,86.75,2020-01-07,1,12407
16.5,94.0,2020-04-20,4,11236
12.75,95.25,2020-06-14,6,7641
5.5,71.75,2020-12-17,12,587
24.25,47.25,2020-08-19,8,18489
13.25,72.25,2020-11-17,11,8029
21.5,57.0,2020-05-05,5,15888
15.25,51.75,2020-06-13,6,9867
14.25,52.25,2020-06-02,6,8909
27.0,86.75,2020-11-19,11,21287
7.25,75.25,2020-12-16,12,2281
23.25,77.25,2020-12-17,12,17649
23.5,89.5,2020-10-01,10,17938
14.25,77.75,2020-07-02,7,9011
11.5,82.75,2020-07-16,7,6391
5.0,50.0,2020-12-23,12,20
28.25,96.0,2020-04-13,4,22524
28.5,71.75,2020-05-06,5,22667
11.0,54.25,2020-11-23,11,5797
5.75,93.75,2020-05-21,5,915
8.0,89.0,2020-03-26,3,3056
6.5,48.0,2020-07-23,7,1452
25.75,56.5,2020-04-28,4,19966
27.25,45.75,2020-11-21,11,21363
8.75,61.0,2020-11-27,11,3664
23.5,50.75,2020-04-21,4,17783
9.25,87.5,2020-07-12,7,4250
14.0,76.25,2020-12-25,12,8765
19.75,103.75,2020-09-27,9,14395
22.75,89.75,2020-03-19,3,17219
26.75,81.5,2020-08-03,8,21026
6.0,75.5,2020-08-14,8,1082
9.75,48.25,2020-08-26,8,4573
12.0,49.0,2020-01-10,1,6736
12.75,81.75,2020-04-19,4,7587
29.75,45.25,2020-11-07,11,23761
24.25,47.5,2020-03-29,3,18490
13.0,58.0,2020-04-19,4,7732
29.25,98.0,2020-04-27,4,23492
17.25,72.5,2020-03-05,3,11870
17.5,87.5,2020-02-26,2,12170
15.75,69.5,2020-05-06,5,10418
8.5,55.25,2020-11-15,11,3401
28.25,67.25,2020-01-01,1,22409
5.25,50.5,2020-04-13,4,262
9.25,91.0,2020-01-23,1,4264
10.5,56.0,2020-07-23,7,5324
11.75,67.5,2020-04-01,4,6570
8.25,103.75,2020-10-16,10,3355
5.25,80.5,2020-08-01,8,382
21.75,72.5,2020-10-13,10,16190
29.0,77.5,2020-08-19,8,23170
8.0,92.0,2020-06-09,6,3068
12.25,60.25,2020-11-10,11,7021
17.5,83.0,2020-06-22,6,12152
28.0,97.25,2020-12-12,12,22289
22.25,79.25,2020-12-29,12,16697
24.0,71.75,2020-08-02,8,18347
19.5,53.5,2020-09-03,9,13954
15.25,59.75,2020-04-03,4,9899
9.75,101.75,2020-10-24,10,4787
26.5,77.25,2020-09-02,9,20769
25.0,63.0,2020-11-25,11,19272
5.5,70.0,2020-04-07,4,580
22.75,79.5,2020-10-14,10,17178
7.0,77.25,2020-06-20,6,2049
23.25,86.75,2020-03-08,3,17687
25.5,60.25,2020-03-03,3,19741
8.25,83.75,2020-07-24,7,3275
15.75,71.5,2020-04-26,4,10426
8.0,101.25,2020-02-07,2,3105
19.0,54.25,2020-06-04,6,13477
28.0,53.75,2020-08-26,8,22115
7.0,72.5,2020-04-26,4,2030
14.75,75.5,2020-12-14,12,9482
29.25,86.25,2020-10-11,10,23445
12.5,69.0,2020-07-06,7,7296
8.25,99.75,2020-12-07,12,3339
17.0,73.25,2020-06-07,6,11633
17.5,52.75,2020-02-20,2,12031
21.5,52.0,2020-01-14,1,15868
12.75,103.25,2020-12-08,12,7673
28.75,53.0,2020-12-16,12,22832
18.0,101.75,2020-09-26,9,12707
12.0,61.5,2020-02-07,2,6786
29.0,50.5,2020-04-17,4,23062
28.0,63.25,2020-01-15,1,22153
17.25,81.75,2020-01-19,1,11907
5.5,70.5,2020-03-30,3,582
19.75,92.0,2020-07-27,7,14348
18.75,81.5,2020-01-24,1,13346
8.5,69.0,2020-12-25,12,3456
20.75,83.0,2020-06-15,6,15272
26.0,103.25,2020-04-06,4,20393
7.5,69.5,2020-07-07,7,2498
23.0,54.0,2020-10-15,10,17316
8.5,69.5,2020-04-24,4,3458
23.5,95.25,2020-01-18,1,17961
15.25,58.0,2020-01-19,1,9892
5.0,101.75,2020-11-06,11,227
29.0,80.25,2020-02-10,2,23181
9.0,81.0,2020-08-19,8,3984
19.75,64.0,2020-05-20,5,14236
9.5,100.0,2020-10-10,10,4540
28.25,47.0,2020-01-23,1,22328
23.25,62.75,2020-11-23,11,17591
25.0,70.0,2020-09-11,9,19300
15.75,73.5,2020-06-12,6,10434
16.5,73.25,2020-03-16,3,11153
20.75,53.75,2020-12-22,12,15155
24.5,58.5,2020-04-20,4,18774
26.0,50.5,2020-06-28,6,20182
5.25,79.25,2020-05-23,5,377
21.5,66.0,2020-03-25,3,15924
7.5,78.75,2020-06-01,6,2535
12.0,80.25,2020-02-25,2,6861
25.5,87.0,2020-01-01,1,19848
11.25,77.75,2020-04-15,4,6131
24.75,83.75,2020-02-10,2,19115
16.5,80.0,2020-05-31,5,11180
10.75,84.0,2020-11-10,11,5676
13.25,81.75,2020-02-29,2,8067
18.25,63.75,2020-01-01,1,12795
24.0,59.75,2020-02-10,2,18299
20.0,92.0,2020-07-04,7,14588
28.25,65.5,2020-04-10,4,22402
26.5,77.75,2020-06-27,6,20771
23.75,56.75,2020-01-11,1,18047
20.0,70.75,2020-05-01,5,14503
12.0,76.75,2020-05-29,5,6847
15.25,82.5,2020-06-06,6,9990
7.75,76.5,2020-07-20,7,2766
14.25,66.5,2020-10-11,10,8966
28.0,102.5,2020-06-19,6,22310
15.5,75.75,2020-11-03,11,10203
